Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
1080,02/03/2019,21.84,-102.52,1080,-99,-99,Lerma Santiago,Valle,28.8136,8.59256,-99,-99,18.14026,NA,NA,NA,NA,NA,0
1081,01/03/2019,22.09,-101.97,1081,-99,-99,Lerma Santiago,Llanura,27.65936,9.14703,-99,-99,17.21906,NA,NA,NA,NA,NA,0
1081,02/03/2019,22.09,-101.97,1081,-99,-99,Lerma Santiago,Llanura,28.02209,10.19669,-99,-99,18.63834,NA,NA,NA,NA,NA,0
1082,01/03/2019,22.23,-102.32,1082,-99,-99,Lerma Santiago,Llanura,27.65881,7.92175,-99,-99,16.91876,NA,NA,NA,NA,NA,0
1082,02/03/2019,22.23,-102.32,1082,-99,-99,Lerma Santiago,Llanura,28.10968,8.47815,-99,-99,17.50351,NA,NA,NA,NA,NA,0
1084,01/03/2019,22.21,-102.02,1084,-99,-99,Lerma Santiago,Llanura,27.69748,8.9671,-99,-99,17.23666,NA,NA,NA,NA,NA,0
1084,02/03/2019,22.21,-102.02,1084,-99,-99,Lerma Santiago,Llanura,28.19717,10.05298,-99,-99,18.64081,NA,NA,NA,NA,NA,0
1085,01/03/2019,22.09,-102.18,1085,-99,-99,Lerma Santiago,Lomer?o,27.82501,8.5596,-99,-99,17.15732,NA,NA,NA,NA,NA,0
1085,02/03/2019,22.09,-102.18,1085,-99,-99,Lerma Santiago,Lomer?o,28.15051,9.27393,-99,-99,18.11807,NA,NA,NA,NA,NA,0
1088,01/03/2019,22.36,-102.3,1088,-99,-99,Lerma Santiago,Meseta,27.38263,7.85443,-99,-99,16.77087,NA,NA,NA,NA,NA,0
1088,02/03/2019,22.36,-102.3,1088,-99,-99,Lerma Santiago,Meseta,27.98871,8.56506,-99,-99,17.42242,NA,NA,NA,NA,NA,0
1091,01/03/2019,21.74,-102.72,1091,-99,-99,Lerma Santiago,Sierra,28.86395,9.02423,-99,-99,18.16519,NA,NA,NA,NA,NA,0
1091,02/03/2019,21.74,-102.72,1091,-99,-99,Lerma Santiago,Sierra,29.29764,9.09241,-99,-99,18.57016,NA,NA,NA,NA,NA,0
1094,01/03/2019,22.29,-102.24,1094,-99,-99,Lerma Santiago,Llanura,27.56104,8.11603,-99,-99,16.9375,NA,NA,NA,NA,NA,0
1094,02/03/2019,22.29,-102.24,1094,-99,-99,Lerma Santiago,Llanura,28.11005,8.86923,-99,-99,17.74445,NA,NA,NA,NA,NA,0
1095,01/03/2019,21.94,-102.55,1095,-99,-99,Lerma Santiago,Lomer?o,28.36725,8.16321,-99,-99,17.43973,NA,NA,NA,NA,NA,0
1095,02/03/2019,21.94,-102.55,1095,-99,-99,Lerma Santiago,Lomer?o,28.64444,8.35577,-99,-99,17.84644,NA,NA,NA,NA,NA,0
1096,01/03/2019,21.84,-102.18,1096,-99,-99,Lerma Santiago,Lomer?o,28.02954,9.0679,-99,-99,17.52322,NA,NA,NA,NA,NA,0
1096,02/03/2019,21.84,-102.18,1096,-99,-99,Lerma Santiago,Lomer?o,28.32617,9.5321,-99,-99,18.49701,NA,NA,NA,NA,NA,0
1097,01/03/2019,21.91,-102.27,1097,-99,-99,Lerma Santiago,Llanura,28.15259,8.55069,-99,-99,17.40558,NA,NA,NA,NA,NA,0
1097,02/03/2019,21.91,-102.27,1097,-99,-99,Lerma Santiago,Llanura,28.42139,8.93475,-99,-99,18.12097,NA,NA,NA,NA,NA,0
1099,01/03/2019,21.98,-102.06,1099,-99,-99,Lerma Santiago,Llanura,27.71738,9.11877,-99,-99,17.24704,NA,NA,NA,NA,NA,0
1099,02/03/2019,21.98,-102.06,1099,-99,-99,Lerma Santiago,Llanura,27.98874,9.95438,-99,-99,18.49924,NA,NA,NA,NA,NA,0
1101,01/03/2019,21.91,-102.09,1101,-99,-99,Lerma Santiago,Llanura,27.78058,9.15659,-99,-99,17.33258,NA,NA,NA,NA,NA,0
1101,02/03/2019,21.91,-102.09,1101,-99,-99,Lerma Santiago,Llanura,28.0636,9.88284,-99,-99,18.53165,NA,NA,NA,NA,NA,0
1102,01/03/2019,22.15,-102.28,1102,-99,-99,Lerma Santiago,Llanura,27.82373,8.12704,-99,-99,17.05347,NA,NA,NA,NA,NA,0
1102,02/03/2019,22.15,-102.28,1102,-99,-99,Lerma Santiago,Llanura,28.18994,8.67621,-99,-99,17.72769,NA,NA,NA,NA,NA,0
1103,01/03/2019,22.18,-102.59,1103,-99,-99,Lerma Santiago,Meseta,27.83475,7.77429,-99,-99,16.98264,NA,NA,NA,NA,NA,0
1103,02/03/2019,22.18,-102.59,1103,-99,-99,Lerma Santiago,Meseta,28.23602,8.18851,-99,-99,17.3663,NA,NA,NA,NA,NA,0
1105,01/03/2019,21.99,-102.35,1105,-99,-99,Lerma Santiago,Llanura,28.19379,8.19293,-99,-99,17.29858,NA,NA,NA,NA,NA,0
1105,02/03/2019,21.99,-102.35,1105,-99,-99,Lerma Santiago,Llanura,28.44547,8.51532,-99,-99,17.84845,NA,NA,NA,NA,NA,0
1106,01/03/2019,21.96,-102.48,1106,-99,-99,Lerma Santiago,Lomer?o,28.31238,8.11414,-99,-99,17.37195,NA,NA,NA,NA,NA,0
1106,02/03/2019,21.96,-102.48,1106,-99,-99,Lerma Santiago,Lomer?o,28.56744,8.31949,-99,-99,17.80469,NA,NA,NA,NA,NA,0
2001,01/03/2019,32.11,-116.45,2001,-99,-99,B.C. Noroeste,Sierra,20.85495,8.60925,-99,-99,12.93161,NA,NA,NA,NA,NA,0
2001,02/03/2019,32.11,-116.45,2001,-99,-99,B.C. Noroeste,Sierra,15.70486,9.16345,-99,-99,12.00372,NA,NA,NA,NA,NA,0
2002,01/03/2019,28.6,-113.56,2002,-99,-99,B.C. Centro Este,Sierra,26.38074,11.31824,-99,-99,18.13007,NA,NA,NA,NA,NA,0
2002,02/03/2019,28.6,-113.56,2002,-99,-99,B.C. Centro Este,Sierra,26.42322,13.59369,-99,-99,17.98688,NA,NA,NA,NA,NA,0
2004,01/03/2019,32.2,-116.49,2004,-99,-99,B.C. Noroeste,Lomer?o,20.70081,9.11392,-99,-99,13.17126,NA,NA,NA,NA,NA,0
2004,02/03/2019,32.2,-116.49,2004,-99,-99,B.C. Noroeste,Lomer?o,15.97229,9.44467,-99,-99,12.25391,NA,NA,NA,NA,NA,0
2005,01/03/2019,32.02,-116.78,2005,-99,-99,B.C. Noroeste,Meseta,18.95416,12.07434,-99,-99,14.51703,NA,NA,NA,NA,NA,0
2005,02/03/2019,32.02,-116.78,2005,-99,-99,B.C. Noroeste,Meseta,16.49072,12.07755,-99,-99,14.2438,NA,NA,NA,NA,NA,0
2006,01/03/2019,29.49,-114.36,2006,-99,-99,B.C. Centro Este,Sierra,27.16632,12.21939,-99,-99,18.47394,NA,NA,NA,NA,NA,0
2006,02/03/2019,29.49,-114.36,2006,-99,-99,B.C. Centro Este,Sierra,26.52048,13.99472,-99,-99,18.54044,NA,NA,NA,NA,NA,0
2007,01/03/2019,32.44,-115.39,2007,-99,-99,Rio Colorado,Bajada,29.17236,12.36389,-99,-99,19.08026,NA,NA,NA,NA,NA,0
2007,02/03/2019,32.44,-115.39,2007,-99,-99,Rio Colorado,Bajada,28.01166,13.87012,-99,-99,19.70941,NA,NA,NA,NA,NA,0
2008,01/03/2019,30.72,-115.98,2008,-99,-99,B.C. Noroeste,Llanura,20.87573,12.20657,-99,-99,15.31979,NA,NA,NA,NA,NA,0
2008,02/03/2019,30.72,-115.98,2008,-99,-99,B.C. Noroeste,Llanura,19.01913,12.10901,-99,-99,15.0126,NA,NA,NA,NA,NA,0
2009,01/03/2019,32.3,-115.02,2009,-99,-99,Rio Colorado,Llanura,27.72556,12.76663,-99,-99,19.0484,NA,NA,NA,NA,NA,0
