,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
7152,28097,01/03/2019,22.53,-98.93,28097,-99.0,-99.0,Panuco,Bajada,33.86859,19.24197,-99.0,-99.0,25.11194,,,,,,0
7153,28097,02/03/2019,22.53,-98.93,28097,-99.0,-99.0,Panuco,Bajada,34.10678,19.66284,-99.0,-99.0,25.59308,,,,,,0
7180,28114,01/03/2019,23.0,-99.71,28114,-99.0,-99.0,El Salado,Bajada,31.84961,15.22974,-99.0,-99.0,21.71472,,,,,,0
7181,28114,02/03/2019,23.0,-99.71,28114,-99.0,-99.0,El Salado,Bajada,33.43741,15.104,-99.0,-99.0,22.80206,,,,,,0
7182,28115,01/03/2019,23.57,-99.86,28115,-99.0,-99.0,El Salado,Bajada,30.00549,12.20557,-99.0,-99.0,19.55444,,,,,,0
7183,28115,02/03/2019,23.57,-99.86,28115,-99.0,-99.0,El Salado,Bajada,31.50635,12.52832,-99.0,-99.0,20.39316,,,,,,0
7184,28116,01/03/2019,23.73,-99.15,28116,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,32.86557,16.37463,-99.0,-99.0,23.06778,,,,,,0
7185,28116,02/03/2019,23.73,-99.15,28116,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,34.62402,16.32495,-99.0,-99.0,23.97113,,,,,,0
7198,28127,01/03/2019,23.73,-99.13,28127,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,32.95264,16.49951,-99.0,-99.0,23.18805,,,,,,0
7199,28127,02/03/2019,23.73,-99.13,28127,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,34.6142,16.46686,-99.0,-99.0,24.06131,,,,,,0
7210,28139,01/03/2019,22.5,-98.92,28139,-99.0,-99.0,Panuco,Bajada,33.89993,19.34216,-99.0,-99.0,25.18964,,,,,,0
7211,28139,02/03/2019,22.5,-98.92,28139,-99.0,-99.0,Panuco,Bajada,34.1441,19.83365,-99.0,-99.0,25.67349,,,,,,0
7222,28151,01/03/2019,23.96,-98.67,28151,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,34.58661,18.99701,-99.0,-99.0,25.50674,,,,,,0
7223,28151,02/03/2019,23.96,-98.67,28151,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,35.22903,19.15796,-99.0,-99.0,25.95969,,,,,,0
7240,28170,01/03/2019,23.7,-99.19,28170,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,32.64832,16.03461,-99.0,-99.0,22.7482,,,,,,0
7241,28170,02/03/2019,23.7,-99.19,28170,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,34.44965,15.98187,-99.0,-99.0,23.69525,,,,,,0
7254,28183,01/03/2019,23.45,-99.51,28183,-99.0,-99.0,Panuco,Bajada,31.85699,14.75784,-99.0,-99.0,21.59052,,,,,,0
7255,28183,02/03/2019,23.45,-99.51,28183,-99.0,-99.0,Panuco,Bajada,33.27475,14.82278,-99.0,-99.0,22.57172,,,,,,0
7264,28189,01/03/2019,23.14,-99.69,28189,-99.0,-99.0,El Salado,Bajada,31.70245,14.90958,-99.0,-99.0,21.52899,,,,,,0
7265,28189,02/03/2019,23.14,-99.69,28189,-99.0,-99.0,El Salado,Bajada,33.21512,14.84402,-99.0,-99.0,22.55634,,,,,,0
7288,28201,01/03/2019,22.96,-98.13,28201,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,31.48035,20.0947,-99.0,-99.0,24.23489,,,,,,0
7289,28201,02/03/2019,22.96,-98.13,28201,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,30.71143,19.70267,-99.0,-99.0,24.1026,,,,,,0
7314,28218,01/03/2019,23.65,-99.1,28218,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,32.90643,16.38751,-99.0,-99.0,23.09094,,,,,,0
7315,28218,02/03/2019,23.65,-99.1,28218,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,34.12134,16.43182,-99.0,-99.0,23.89407,,,,,,0
7320,28221,01/03/2019,23.55,-98.9,28221,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,33.53882,17.37592,-99.0,-99.0,24.01108,,,,,,0
7321,28221,02/03/2019,23.55,-98.9,28221,-99.0,-99.0,San Fernando Soto La Mar.,Bajada,33.7666,17.53949,-99.0,-99.0,24.5144,,,,,,0
8132,32007,01/03/2019,24.68,-101.77,32007,-99.0,-99.0,Nazas Aguanaval,Bajada,29.03857,10.46265,-99.0,-99.0,18.54102,,,,,,0
8133,32007,02/03/2019,24.68,-101.77,32007,-99.0,-99.0,Nazas Aguanaval,Bajada,31.57001,9.83221,-99.0,-99.0,19.6767,,,,,,0
8140,32012,01/03/2019,23.48,-103.89,32012,-99.0,-99.0,Presidio-San Pedro,Bajada,26.69061,7.51382,-99.0,-99.0,16.14154,,,,,,0
8141,32012,02/03/2019,23.48,-103.89,32012,-99.0,-99.0,Presidio-San Pedro,Bajada,28.72299,7.88428,-99.0,-99.0,16.4198,,,,,,0
8150,32018,01/03/2019,23.28,-103.11,32018,-99.0,-99.0,Nazas Aguanaval,Bajada,27.10254,7.28357,-99.0,-99.0,16.53851,,,,,,0
8151,32018,02/03/2019,23.28,-103.11,32018,-99.0,-99.0,Nazas Aguanaval,Bajada,28.91669,8.10754,-99.0,-99.0,17.45285,,,,,,0
8168,32028,01/03/2019,24.28,-103.4,32028,-99.0,-99.0,Nazas Aguanaval,Bajada,27.96878,10.22137,-99.0,-99.0,18.05023,,,,,,0
8169,32028,02/03/2019,24.28,-103.4,32028,-99.0,-99.0,Nazas Aguanaval,Bajada,30.9758,8.34714,-99.0,-99.0,18.81747,,,,,,0
8198,32047,01/03/2019,22.94,-102.49,32047,-99.0,-99.0,El Salado,Bajada,27.33636,8.27551,-99.0,-99.0,17.06482,,,,,,0
8199,32047,02/03/2019,22.94,-102.49,32047,-99.0,-99.0,El Salado,Bajada,29.05438,7.70508,-99.0,-99.0,17.79807,,,,,,0
8200,32048,01/03/2019,23.9,-101.72,32048,-99.0,-99.0,El Salado,Bajada,28.48428,9.5011,-99.0,-99.0,18.23325,,,,,,0
8201,32048,02/03/2019,23.9,-101.72,32048,-99.0,-99.0,El Salado,Bajada,30.81555,9.44073,-99.0,-99.0,19.48019,,,,,,0
8232,32065,01/03/2019,23.47,-103.88,32065,-99.0,-99.0,Presidio-San Pedro,Bajada,26.68372,7.52753,-99.0,-99.0,16.14557,,,,,,0
8233,32065,02/03/2019,23.47,-103.88,32065,-99.0,-99.0,Presidio-San Pedro,Bajada,28.70554,7.88712,-99.0,-99.0,16.42075,,,,,,0
8248,32076,01/03/2019,23.81,-102.47,32076,-99.0,-99.0,El Salado,Bajada,27.70309,8.40671,-99.0,-99.0,17.63403,,,,,,0
8249,32076,02/03/2019,23.81,-102.47,32076,-99.0,-99.0,El Salado,Bajada,30.38748,8.09851,-99.0,-99.0,18.81876,,,,,,0
8250,32077,01/03/2019,24.14,-101.47,32077,-99.0,-99.0,El Salado,Bajada,28.01703,10.28949,-99.0,-99.0,17.983,,,,,,0
8251,32077,02/03/2019,24.14,-101.47,32077,-99.0,-99.0,El Salado,Bajada,30.51691,10.21475,-99.0,-99.0,19.2352,,,,,,0
